offset,radius,height,variant,auc,med_free,med_clash
-6.0,12.0,40.0,plain,0.8619591830126093,3.0,15.0
-6.0,12.0,30.0,plain,0.8617865369128273,3.0,15.0
0.0,12.0,50.0,plain,0.8610350248075375,1.0,10.0
0.0,12.0,40.0,plain,0.8610272460536023,1.0,10.0
0.0,12.0,30.0,plain,0.8609886690657611,1.0,10.0
-6.0,16.0,50.0,plain,0.8578848406516977,11.0,26.0
-6.0,16.0,40.0,plain,0.8578498538579804,11.0,26.0
-6.0,16.0,30.0,plain,0.8575645390190745,11.0,26.0
4.0,12.0,50.0,aware1,0.8555411478484177,0.0,6.0
4.0,12.0,40.0,aware1,0.8555401623049328,0.0,6.0
4.0,12.0,30.0,aware1,0.855533333896501,0.0,6.0
4.0,12.0,50.0,plain,0.8526574828093058,0.0,7.0
4.0,12.0,40.0,plain,0.8526564972658208,0.0,7.0
4.0,12.0,30.0,plain,0.8526481553441799,0.0,7.0
